order_id,order_placement_date,customer_id,product_id,order_qty
FJUL33320501,01-07-2025,789320,25891203,150
FJUL33320501,01-07-2025,789320,25891301,46
FJUL33320501,01-07-2025,789320,25891403,
FJUL33320501,"Tuesday, July 01, 2025",789320,25891201,354
FJUL33320501,"Tuesday, July 01, 2025",789320,25891501,249
FJUL33320501,01-07-2025,789320,25891301,46
FJUL33401603,"Tuesday, July 01, 2025",789401,25891302,40
FJUL33401603,"Tuesday, July 01, 2025",789401,25891502,133
FJUL33401603,"Tuesday, July 01, 2025",789401,25891503,145
FJUL33401603,"Tuesday, July 01, 2025",789401,25891203,429
FJUL33401603,01-07-2025,789401,25891201,461
FJUL33401603,"Tuesday, July 01, 2025",789401,25891603,
FJUL32101601,01-07-2025,789101,25891503,183
FJUL32101601,"Tuesday, July 01, 2025",789101,25891601,124
FJUL32101601,"Tuesday, July 01, 2025",789101,25891501,241
FJUL32101601,01-07-2025,789101,25891101,474
FJUL32101601,01-07-2025,789101,25891303,58
FJUL32202603,"Tuesday, July 01, 2025",789202,25891403,440
FJUL32202603,"Tuesday, July 01, 2025",789202,25891103,370
FJUL32202603,"Tuesday, July 01, 2025",789202,25891601,119
FJUL32202603,01-07-2025,789202,25891603,
FJUL32202603,"Tuesday, July 01, 2025",789202,25891202,274
FJUL32221603,"Tuesday, July 01, 2025",789221,25891503,158
FJUL32221603,"Tuesday, July 01, 2025",789221,25891103,430
FJUL32221603,"Tuesday, July 01, 2025",789221,25891501,140
FJUL32221603,"Tuesday, July 01, 2025",789221,25891603,80
FJUL32221603,01-07-2025,789221,25891603,80
FJUL32903403,"Tuesday, July 01, 2025",789903,25891302,40
FJUL32903403,01-07-2025,789903,99999999,
FJUL32903403,"Tuesday, July 01, 2025",789903,25891101,326
FJUL32903403,"Tuesday, July 01, 2025",789903,25891303,
FJUL32903403,"Tuesday, July 01, 2025",789903,25891302,40
FJUL33203603,"Tuesday, July 01, 2025",789203,88888888,104
FJUL33203603,"Tuesday, July 01, 2025",789203,25891602,184
FJUL33203603,"Tuesday, July 01, 2025",789203,25891101,294
FJUL33203603,"Tuesday, July 01, 2025",789203,25891603,122
FJUL33203603,"Tuesday, July 01, 2025",789203,25891602,184
FJUL33220603,"Tuesday, July 01, 2025",789220,25891301,75
FJUL33220603,01-07-2025,789220,25891502,211
FJUL33220603,"Tuesday, July 01, 2025",789220,25891503,239
FJUL33220603,"Tuesday, July 01, 2025",789220,25891602,65
FJUL33220603,"Tuesday, July 01, 2025",789220,25891603,46
FJUL33321602,01-07-2025,789321,25891103,419
FJUL33321602,"Tuesday, July 01, 2025",789321,25891402,283
FJUL33321602,"Tuesday, July 01, 2025",789321,25891602,74
FJUL33321602,"Tuesday, July 01, 2025",789321,25891101,345
FJUL33321602,"Tuesday, July 01, 2025",789321,25891103,419
FJUL33503502,"Tuesday, July 01, 2025",789503,25891502,238
FJUL33503502,"Tuesday, July 01, 2025",789503,25891103,309
FJUL33503502,"Tuesday, July 01, 2025",789503,25891402,450
FJUL33503502,"Tuesday, July 01, 2025",789503,25891101,362
FJUL33503502,"Tuesday, July 01, 2025",789503,25891202,214
FJUL34303602,"Tuesday, July 01, 2025",789303,25891301,40
FJUL34303602,"Tuesday, July 01, 2025",789303,25891102,317
FJUL34303602,"Tuesday, July 01, 2025",789303,25891403,406
FJUL34303602,"Tuesday, July 01, 2025",INVALID,25891602,98
FJUL34303602,"Tuesday, July 01, 2025",789303,25891202,144
FJUL34622602,01-07-2025,789622,25891503,241
FJUL34622602,"Tuesday, July 01, 2025",789622,25891601,91
FJUL34622602,"Tuesday, July 01, 2025",789622,25891402,439
FJUL34622602,"Tuesday, July 01, 2025",789622,25891602,54
FJUL34622602,"Tuesday, July 01, 2025",789622,25891303,84
FJUL32501601,"Tuesday, July 01, 2025",789501,25891203,478
FJUL32501601,"Tuesday, July 01, 2025",789501,25891103,318
FJUL32501601,"Tuesday, July 01, 2025",789501,25891601,139
FJUL32501601,"Tuesday, July 01, 2025",789501,25891303,41
FJUL32622502,01-07-2025,789622,77777777,138
FJUL32622502,"Tuesday, July 01, 2025",789622,25891201,247
FJUL32622502,"Tuesday, July 01, 2025",789622,25891303,51
FJUL32622502,"Tuesday, July 01, 2025",789622,77777777,138
FJUL32721603,"Tuesday, July 01, 2025",789721,25891603,126
FJUL32721603,"Tuesday, July 01, 2025",INVALID,25891202,169
FJUL32721603,"Tuesday, July 01, 2025",789721,25891303,69
FJUL32721603,"Tuesday, July 01, 2025",789721,25891603,126
FJUL33202502,"Tuesday, July 01, 2025",789202,25891502,134
FJUL33202502,"Tuesday, July 01, 2025",789202,25891101,391
FJUL33202502,"Tuesday, July 01, 2025",INVALID,25891401,215
FJUL33202502,"Tuesday, July 01, 2025",789202,25891202,130
FJUL33402303,"Tuesday, July 01, 2025",789402,25891301,94
FJUL33402303,"Tuesday, July 01, 2025",789402,25891202,167
FJUL33402303,"Tuesday, July 01, 2025",789402,25891303,63
FJUL33402303,01-07-2025,789402,25891202,167
FJUL33501401,"Tuesday, July 01, 2025",789501,25891103,
FJUL33501401,01-07-2025,INVALID,25891101,484
FJUL33501401,"Tuesday, July 01, 2025",789501,25891401,259
FJUL33501401,"Tuesday, July 01, 2025",789501,25891303,57
FJUL33721603,"Tuesday, July 01, 2025",789721,25891203,345
FJUL33721603,"Tuesday, July 01, 2025",789721,25891301,59
FJUL33721603,"Tuesday, July 01, 2025",INVALID,25891602,148
FJUL33721603,01-07-2025,789721,25891603,195
FJUL34220601,01-07-2025,789220,25891203,235
FJUL34220601,"Tuesday, July 01, 2025",789220,25891102,473
FJUL34220601,01-07-2025,789220,25891601,78
FJUL34220601,"Tuesday, July 01, 2025",789220,25891201,378
FJUL34520301,"Tuesday, July 01, 2025",789520,25891203,155
FJUL34520301,"Tuesday, July 01, 2025",789520,25891301,34
FJUL34520301,"Tuesday, July 01, 2025",789520,25891101,385
FJUL34520301,"Tuesday, July 01, 2025",789520,25891101,385
FJUL34903603,"Tuesday, July 01, 2025",789903,25891203,329
FJUL34903603,"Tuesday, July 01, 2025",789903,25891501,136
FJUL34903603,"Tuesday, July 01, 2025",789903,25891603,133
FJUL34903603,"Tuesday, July 01, 2025",789903,25891603,133
FJUL32103503,"Tuesday, July 01, 2025",789103,77777777,246
FJUL32103503,"Tuesday, July 01, 2025",789103,25891503,
FJUL32103503,"Tuesday, July 01, 2025",789103,77777777,101
FJUL32203402,"Tuesday, July 01, 2025",789203,25891402,488
FJUL32203402,"Tuesday, July 01, 2025",789203,25891303,64
FJUL32203402,"Tuesday, July 01, 2025",789203,25891402,488
FJUL32220503,01-07-2025,789220,25891403,372
FJUL32220503,"Tuesday, July 01, 2025",ABC987,25891503,103
FJUL32220503,"Tuesday, July 01, 2025",ABC987,25891503,103
FJUL32403401,01-07-2025,789403,25891203,348
FJUL32403401,"Tuesday, July 01, 2025",789403,25891401,473
FJUL32403401,"Tuesday, July 01, 2025",789403,25891202,472
FJUL32420602,"Tuesday, July 01, 2025",789420,25891302,49
FJUL32420602,01-07-2025,789420,25891502,157
FJUL32420602,01-07-2025,789420,25891602,76
FJUL32702601,01-07-2025,789702,25891102,
FJUL32702601,"Tuesday, July 01, 2025",789702,25891601,74
FJUL32702601,"Tuesday, July 01, 2025",789702,25891303,29
FJUL33103602,"Tuesday, July 01, 2025",789103,25891601,150
FJUL33103602,"Tuesday, July 01, 2025",789103,25891602,163
FJUL33103602,"Tuesday, July 01, 2025",789103,77777777,32
FJUL33201602,01-07-2025,789201,25891601,171
FJUL33201602,"Tuesday, July 01, 2025",789201,25891602,52
FJUL33201602,"Tuesday, July 01, 2025",789201,25891401,456
FJUL33403501,"Tuesday, July 01, 2025",789403,25891501,
FJUL33403501,"Tuesday, July 01, 2025",789403,25891101,379
FJUL33403501,01-07-2025,789403,25891303,89
